run_id,time_s,relative_to_t1_s,x_m,y_m,speed_mps,source_file,source_line
202607201611,1784535182.192676,-6.966795921325684,-428.6708374023438,-27.22825622558594,6.097146992739368,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,597
202607201611,1784535182.323739,-6.835732936859131,-428.0509643554688,-27.18421363830566,6.269151174270572,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,598
202607201611,1784535182.429756,-6.729716062545776,-427.4150695800781,-27.14626693725586,6.360147718344839,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,599
202607201611,1784535182.541577,-6.617894887924194,-426.7664794921875,-27.11320495605469,6.868595106095915,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,600
202607201611,1784535182.649869,-6.509603023529053,-426.0178527832031,-27.08083915710449,7.891197230912896,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,601
202607201611,1784535182.765359,-6.394113063812256,-425.1990661621094,-27.05068206787109,8.348233439297148,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,602
202607201611,1784535182.879303,-6.2801690101623535,-424.3427124023438,-27.02230834960938,8.72823440529734,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,603
202607201611,1784535182.984004,-6.1754679679870605,-423.4470520019531,-26.99405670166016,9.122957020879175,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,604
202607201611,1784535183.084667,-6.074805021286011,-422.5146789550781,-26.96445655822754,9.457671205104301,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,605
202607201611,1784535183.190893,-5.968579053878784,-421.5537414550781,-26.93213081359863,9.712854506120625,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,606
202607201611,1784535183.303613,-5.855859041213989,-420.5757751464844,-26.90433311462402,9.766321703022278,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,607
202607201611,1784535183.411985,-5.7474870681762695,-419.6105651855469,-26.88127708435059,9.514255727433143,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,608
