planning_seq,reuse_count,first_control_seq,last_control_seq,max_planning_age_ms
631,9,10434,10442,89.38002586364746
632,11,10443,10453,102.81896591186523
633,9,10454,10462,91.35794639587402
634,10,10463,10472,93.06216239929199
635,10,10473,10482,92.29826927185059
636,11,10483,10493,102.48780250549316
637,10,10494,10503,100.48842430114746
638,9,10504,10512,90.21854400634766
639,11,10513,10523,101.86529159545898
640,10,10524,10533,91.95470809936523
641,11,10534,10544,109.85589027404785
642,9,10545,10553,88.56940269470215
643,10,10554,10563,100.14724731445312
644,12,10564,10575,114.9606704711914
645,9,10576,10584,93.14656257629395
646,9,10585,10593,89.0800952911377
647,10,10594,10603,97.0304012298584
648,12,10604,10615,116.41383171081543
649,8,10616,10623,75.06346702575684
650,10,10624,10633,100.54254531860352
651,10,10634,10643,101.80354118347168
652,9,10644,10652,87.30316162109375
653,42,10653,10694,414.28399085998535
654,37,10695,10731,370.84007263183594
655,38,10732,10769,381.134033203125
656,38,10770,10807,381.06298446655273
657,38,10808,10845,375.1497268676758
658,39,10846,10884,388.2467746734619
659,36,10885,10920,363.27528953552246
660,38,10921,10958,373.5530376434326
661,39,10959,10997,384.7527503967285
662,37,10998,11034,366.45054817199707
663,38,11035,11072,379.946231842041
664,38,11073,11110,379.2996406555176
665,39,11111,11149,386.9612216949463
666,39,11150,11188,388.3335590362549
667,6,11189,11194,57.52730369567871
668,9,11195,11203,82.38625526428223
669,7,11204,11210,64.7287368774414
670,7,11211,11217,69.0774917602539
671,8,11218,11225,75.42729377746582
672,7,11226,11232,65.23990631103516
673,7,11233,11239,63.65370750427246
674,8,11240,11247,74.66602325439453
675,9,11248,11256,85.81280708312988
676,6,11257,11262,50.209999084472656
677,11,11263,11273,108.1535816192627
678,7,11274,11280,70.91307640075684
679,7,11281,11287,68.26162338256836
680,7,11288,11294,70.42360305786133
681,8,11295,11302,82.14306831359863
682,7,11303,11309,71.2120532989502
683,7,11310,11316,66.33782386779785
684,10,11317,11326,92.84520149230957
685,7,11327,11333,62.877655029296875
686,7,11334,11340,61.905860900878906
687,7,11341,11347,69.39363479614258
688,8,11348,11355,73.10271263122559
689,9,11356,11364,88.17386627197266
690,9,11365,11373,84.85817909240723
691,6,11374,11379,52.886247634887695
692,7,11380,11386,63.00234794616699
693,8,11387,11394,77.2860050201416
694,8,11395,11402,77.14319229125977
695,8,11403,11410,80.83415031433105
696,8,11411,11418,77.68583297729492
697,7,11419,11425,68.70722770690918
698,7,11426,11432,67.72828102111816
699,8,11433,11440,73.20785522460938
700,8,11441,11448,78.90629768371582
701,7,11449,11455,65.82522392272949
702,8,11456,11463,71.75278663635254
703,8,11464,11471,74.64861869812012
704,9,11472,11480,88.15574645996094
705,8,11481,11488,79.90264892578125
706,7,11489,11495,71.31838798522949
707,8,11496,11503,73.69494438171387
708,8,11504,11511,77.30317115783691
709,7,11512,11518,70.78838348388672
710,7,11519,11525,66.1935806274414
711,9,11526,11534,83.07051658630371
712,7,11535,11541,71.45142555236816
713,8,11542,11549,72.99184799194336
714,8,11550,11557,75.79779624938965
715,8,11558,11565,81.4676284790039
716,8,11566,11573,80.15990257263184
717,8,11574,11581,78.72319221496582
718,7,11582,11588,69.59080696105957
719,8,11589,11596,78.06086540222168
720,8,11597,11604,75.39486885070801
721,8,11605,11612,74.3706226348877
722,7,11613,11619,68.51434707641602
723,8,11620,11627,73.29678535461426
724,7,11628,11634,69.50998306274414
725,7,11635,11641,62.28756904602051
726,7,11642,11648,65.19746780395508
727,7,11649,11655,62.6225471496582
728,7,11656,11662,67.83509254455566
729,7,11663,11669,63.637495040893555
730,8,11670,11677,76.21264457702637
731,6,11678,11683,57.004451751708984
732,6,11684,11689,59.119462966918945
733,7,11690,11696,64.02826309204102
734,7,11697,11703,70.91665267944336
735,6,11704,11709,55.63807487487793
736,6,11710,11715,58.67719650268555
737,8,11716,11723,73.25577735900879
738,6,11724,11729,59.63397026062012
739,6,11730,11735,56.3206672668457
740,6,11736,11741,58.69436264038086
741,7,11742,11748,66.1008358001709
742,7,11749,11755,68.29261779785156
743,6,11756,11761,59.84854698181152
744,7,11762,11768,66.14851951599121
745,7,11769,11775,62.32500076293945
746,9,11776,11784,88.33694458007812
747,6,11785,11790,60.83846092224121
748,8,11791,11798,81.43448829650879
749,7,11799,11805,69.60153579711914
750,7,11806,11812,69.38862800598145
751,8,11813,11820,76.10678672790527
752,7,11821,11827,68.44949722290039
753,8,11828,11835,72.37887382507324
754,8,11836,11843,76.6448974609375
755,9,11844,11852,93.11437606811523
756,7,11853,11859,64.41617012023926
757,7,11860,11866,64.79787826538086
758,7,11867,11873,67.4138069152832
759,7,11874,11880,64.4216537475586
760,7,11881,11887,67.29340553283691
761,7,11888,11894,65.7801628112793
762,6,11895,11900,60.18233299255371
763,7,11901,11907,64.53466415405273
764,7,11908,11914,68.87316703796387
765,7,11915,11921,69.5343017578125
766,7,11922,11928,66.99752807617188
767,7,11929,11935,69.26369667053223
768,7,11936,11942,69.30994987487793
769,7,11943,11949,67.7940845489502
770,7,11950,11956,73.25196266174316
771,8,11957,11964,73.32873344421387
772,7,11965,11971,71.43759727478027
773,8,11972,11979,77.25834846496582
774,7,11980,11986,69.82135772705078
775,8,11987,11994,75.02436637878418
776,8,11995,12002,75.29211044311523
777,8,12003,12010,77.60095596313477
778,2,12011,12012,18.876314163208008
