control_seq,control_time,planning_seq_used,planning_pub_time,planning_lidar_timestamp,planning_data_age_at_control_ms,planning_reuse_count,throttle,brake,steering
10680,1788414553.179139614,651,1788414553.162991047,1788414552932136339,247.003078,10,0.000000000,14.500000000,-5.225614596
10681,1788414553.189257622,651,1788414553.162991047,1788414552932136339,257.121086,10,0.000000000,14.500000000,-5.226815193
10682,1788414553.199342012,651,1788414553.162991047,1788414552932136339,267.205477,10,0.000000000,14.500000000,-5.227374227
10683,1788414553.209338665,651,1788414553.162991047,1788414552932136339,277.202129,10,0.000000000,14.500000000,-5.227518131
10684,1788414553.219329834,651,1788414553.162991047,1788414552932136339,287.193298,10,0.000000000,14.500000000,-5.227449150
10685,1788414553.229232311,651,1788414553.162991047,1788414552932136339,297.095776,10,0.000000000,14.500000000,-5.227307531
10686,1788414553.239138842,651,1788414553.162991047,1788414552932136339,307.002306,10,22.390948825,0.000000000,-5.228790697
10687,1788414553.249286890,651,1788414553.162991047,1788414552932136339,317.150354,10,0.000000000,14.500000000,-5.234072734
10688,1788414553.259346962,651,1788414553.162991047,1788414552932136339,327.210426,10,0.000000000,14.500000000,-5.241734916
10689,1788414553.269438744,652,1788414553.258411884,1788414553032767216,236.671448,9,0.000000000,14.500000000,-5.248898094
10690,1788414553.279228449,652,1788414553.258411884,1788414553032767216,246.461153,9,0.000000000,14.500000000,-5.254419738
10691,1788414553.289204597,652,1788414553.258411884,1788414553032767216,256.437302,9,21.156271674,0.000000000,-5.258033851
10692,1788414553.299146175,652,1788414553.258411884,1788414553032767216,266.378880,9,21.154119784,0.000000000,-5.259914248
10693,1788414553.309135437,652,1788414553.258411884,1788414553032767216,276.368141,9,21.734319159,0.000000000,-5.260578231
10694,1788414553.319046974,652,1788414553.258411884,1788414553032767216,286.279678,9,21.733917037,0.000000000,-5.260556425
10695,1788414553.329017878,652,1788414553.258411884,1788414553032767216,296.250582,9,22.315866181,0.000000000,-5.260249343
10696,1788414553.339228868,652,1788414553.258411884,1788414553032767216,306.461573,9,24.378781730,0.000000000,-5.262118506
10697,1788414553.349134922,652,1788414553.258411884,1788414553032767216,316.367626,9,22.044172291,0.000000000,-5.270238783
10698,1788414553.359277964,653,1788414553.354435682,1788414553131666411,227.611542,10,22.052130485,0.000000000,-5.283901910
10699,1788414553.369111061,653,1788414553.354435682,1788414553131666411,237.444639,10,22.634742438,0.000000000,-5.297814158
10700,1788414553.379391670,653,1788414553.354435682,1788414553131666411,247.725248,10,22.637008225,0.000000000,-5.308285050
10701,1788414553.389028311,653,1788414553.354435682,1788414553131666411,257.361889,10,23.221369525,0.000000000,-5.314617342
10702,1788414553.398944855,653,1788414553.354435682,1788414553131666411,267.278433,10,23.225384660,0.000000000,-5.317574215
10703,1788414553.409070015,653,1788414553.354435682,1788414553131666411,277.403593,10,23.811495309,0.000000000,-5.318342972
10704,1788414553.419124365,653,1788414553.354435682,1788414553131666411,287.457943,10,23.817259792,0.000000000,-5.317987018
10705,1788414553.429133415,653,1788414553.354435682,1788414553131666411,297.466993,10,24.405119788,0.000000000,-5.317245127
10706,1788414553.439638615,653,1788414553.354435682,1788414553131666411,307.972193,10,25.166292741,0.000000000,-5.317359306
10707,1788414553.449127197,653,1788414553.354435682,1788414553131666411,317.460775,10,22.870601967,0.000000000,-5.320004078
10708,1788414553.459617376,654,1788414553.452944040,1788414553231368688,228.248596,11,22.886877113,0.000000000,-5.324762750
10709,1788414553.469431400,654,1788414553.452944040,1788414553231368688,238.062620,11,23.471351240,0.000000000,-5.329364601
10710,1788414553.479619503,654,1788414553.452944040,1788414553231368688,248.250723,11,23.475980466,0.000000000,-5.332536185
10711,1788414553.496541500,654,1788414553.452944040,1788414553231368688,265.172720,11,24.062203270,0.000000000,-5.334289692
10712,1788414553.498318911,654,1788414553.452944040,1788414553231368688,266.950130,11,24.068581175,0.000000000,-5.334993119
10713,1788414553.510524988,654,1788414553.452944040,1788414553231368688,279.156208,11,24.656552658,0.000000000,-5.335071211
10714,1788414553.518531322,654,1788414553.452944040,1788414553231368688,287.162542,11,24.664679241,0.000000000,-5.334864106
10715,1788414553.528442383,654,1788414553.452944040,1788414553231368688,297.073603,11,25.239434732,0.000000000,-5.334589034
10716,1788414553.540810347,654,1788414553.452944040,1788414553231368688,309.441566,11,25.156924115,0.000000000,-5.334249195
10717,1788414553.551417828,654,1788414553.452944040,1788414553231368688,320.049047,11,22.864334705,0.000000000,-5.332417422
10718,1788414553.559136152,654,1788414553.452944040,1788414553231368688,327.767372,11,22.867012133,0.000000000,-5.327637696
10719,1788414553.569261789,655,1788414553.562848330,1788414553332197950,237.063885,10,23.545248872,0.000000000,-5.321581778
10720,1788414553.579434633,655,1788414553.562848330,1788414553332197950,247.236729,10,23.549674597,0.000000000,-5.316713927
