record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,control_seq,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,total_time_ms,task_index,task_name,task_time_ms
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541074610797,1783598541.0746107,/apollo/control,apollo.control.ControlCommand,1783598541.0743704,6662,6662,control,1783598540718513376,0,0,0.867196,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541084537704,1783598541.0845375,/apollo/control,apollo.control.ControlCommand,1783598541.0843613,6663,6663,control,1783598540718513376,0,0,0.8562519999999999,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541094656257,1783598541.0946562,/apollo/control,apollo.control.ControlCommand,1783598541.094375,6664,6664,control,1783598540718513376,0,0,0.887484,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541104753691,1783598541.1047537,/apollo/control,apollo.control.ControlCommand,1783598541.1044726,6665,6665,control,1783598540718513376,0,0,0.944253,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541114638197,1783598541.114638,/apollo/control,apollo.control.ControlCommand,1783598541.1144047,6666,6666,control,1783598540718513376,0,0,0.859613,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541125020046,1783598541.1250203,/apollo/control,apollo.control.ControlCommand,1783598541.1247227,6667,6667,control,1783598540718513376,0,0,1.207324,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541133032463,1783598541.1330326,/apollo/control,apollo.control.ControlCommand,1783598541.1326814,6668,6668,control,1783598540718513376,0,0,1.0242529999999999,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541144816514,1783598541.1448166,/apollo/control,apollo.control.ControlCommand,1783598541.1443937,6669,6669,control,1783598540718513376,0,0,0.840733,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541154808828,1783598541.1548088,/apollo/control,apollo.control.ControlCommand,1783598541.1545439,6670,6670,control,1783598540818402802,0,0,1.005948,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541164724855,1783598541.1647248,/apollo/control,apollo.control.ControlCommand,1783598541.1644368,6671,6671,control,1783598540818402802,0,0,0.900829,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541174822032,1783598541.174822,/apollo/control,apollo.control.ControlCommand,1783598541.1744592,6672,6672,control,1783598540818402802,0,0,0.900573,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541184920906,1783598541.1849208,/apollo/control,apollo.control.ControlCommand,1783598541.1845484,6673,6673,control,1783598540818402802,0,0,1.021404,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541194894532,1783598541.1948946,/apollo/control,apollo.control.ControlCommand,1783598541.1946106,6674,6674,control,1783598540818402802,0,0,1.073884,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541204588479,1783598541.2045887,/apollo/control,apollo.control.ControlCommand,1783598541.2043684,6675,6675,control,1783598540818402802,0,0,0.879165,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541214562873,1783598541.214563,/apollo/control,apollo.control.ControlCommand,1783598541.214374,6676,6676,control,1783598540818402802,0,0,0.841565,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541224624275,1783598541.2246244,/apollo/control,apollo.control.ControlCommand,1783598541.2244024,6677,6677,control,1783598540818402802,0,0,0.881341,-1,,
