frame_index,trace_id,parent_trace_id,data_ts_ns,data_time_sec,target_present,frame_status,perception_ms,prediction_ms,planning_ms,e2e_ms,perception_threshold_ms,prediction_threshold_ms,planning_threshold_ms,e2e_threshold_ms,e2e_deadline_miss,perception_deadline_miss,prediction_deadline_miss,planning_deadline_miss,cause_modules,e2e_overrun_ms,perception_overrun_ms,prediction_overrun_ms,planning_overrun_ms,perception_to_prediction_handoff_ms,prediction_to_planning_handoff_ms,perception_start_mono_ns,perception_output_mono_ns,prediction_start_mono_ns,prediction_output_mono_ns,planning_start_mono_ns,planning_output_mono_ns,input_seq,output_seq,object_count
62,17294084154085868752,72319179021092055,1783690727892781194,1783690727.8927813,0,COMPLETE,83.583168,4.016928,34.387072,122.267776,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.037664,0.242944,1345603356512,1345686939680,1345686977344,1345690994272,1345691237216,1345725624288,0,1239,2
63,17294084154085868753,72319179021092056,1783690727992624591,1783690727.9926245,0,COMPLETE,86.85152,4.783296,36.990912,130.560032,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.184608,1.749696,1345703191360,1345790042880,1345790227488,1345795010784,1345796760480,1345833751392,0,1240,1
64,17294084154085868754,72319179021092057,1783690728091875761,1783690728.0918758,0,COMPLETE,86.72448,4.959328,42.788,134.957408,90.0,6.403471,41.557888,140.0,0,0,0,1,,0.0,0.0,0.0,1.2301119999999983,0.197696,0.287904,1345803675168,1345890399648,1345890597344,1345895556672,1345895844576,1345938632576,0,1241,2
65,17294084154085868755,72319179021092058,1783690728193643126,1783690728.193643,0,COMPLETE,84.763392,4.415712,33.984448,125.57008,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.312992,2.093536,1345904046848,1345988810240,1345989123232,1345993538944,1345995632480,1346029616928,0,1242,1
66,17294084154085868756,72319179021092059,1783690728291429956,1783690728.29143,0,COMPLETE,84.105632,4.704288,47.337504,136.415104,90.0,6.403471,41.557888,140.0,0,0,0,1,,0.0,0.0,0.0,5.779616000000004,0.055136,0.212544,1346006852032,1346090957664,1346091012800,1346095717088,1346095929632,1346143267136,0,1243,2
67,17294084154085868757,72319179021092060,1783690728392291611,1783690728.3922915,0,COMPLETE,83.255104,3.20352,28.25232,115.080032,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.129824,0.239264,1346101993408,1346185248512,1346185378336,1346188581856,1346188821120,1346217073440,0,1244,1
68,17294084154085868758,72319179021092061,1783690728492275261,1783690728.4922752,0,COMPLETE,84.062176,3.453728,43.2824,131.124288,90.0,6.403471,41.557888,140.0,0,0,0,1,,0.0,0.0,0.0,1.7245120000000043,0.095168,0.230816,1346203060000,1346287122176,1346287217344,1346290671072,1346290901888,1346334184288,0,1245,2
69,17294084154085868759,72319179021092062,1783690728591676466,1783690728.5916765,0,COMPLETE,83.219008,7.531168,47.605408,138.689408,90.0,6.403471,41.557888,140.0,0,0,1,1,,0.0,0.0,1.1276970000000004,6.047519999999999,0.152736,0.181088,1346302721088,1346385940096,1346386092832,1346393624000,1346393805088,1346441410496,0,1246,2
70,17294084154085868760,72319179021092063,1783690728693080182,1783690728.69308,0,COMPLETE,81.190304,4.770688,60.590592,147.301248,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,7.301247999999987,0.0,0.0,19.032704000000003,0.371904,0.37776,1346433655136,1346514845440,1346515217344,1346519988032,1346520365792,1346580956384,0,1247,1
71,17294084154085868761,72319179021092064,1783690728791634363,1783690728.7916343,0,COMPLETE,83.121952,4.261312,44.064224,131.71776,90.0,6.403471,41.557888,140.0,0,0,0,1,,0.0,0.0,0.0,2.5063360000000046,0.071904,0.198368,1346502319040,1346585440992,1346585512896,1346589774208,1346589972576,1346634036800,0,1248,2
72,17294084154085868762,72319179021092065,1783690728892211145,1783690728.8922112,0,COMPLETE,83.887328,8.120256,60.742016,153.069408,90.0,6.403471,41.557888,140.0,1,0,1,1,prediction;planning,13.06940800000001,0.0,1.7167849999999998,19.184128,0.183936,0.135872,1346603793920,1346687681248,1346687865184,1346695985440,1346696121312,1346756863328,0,1249,2
73,17294084154085868763,72319179021092066,1783690728991057930,1783690728.9910579,0,COMPLETE,83.653824,7.141024,28.012736,119.146016,90.0,6.403471,41.557888,140.0,0,0,1,0,,0.0,0.0,0.7375530000000001,0.0,0.164608,0.173824,1346703106912,1346786760736,1346786925344,1346794066368,1346794240192,1346822252928,0,1250,2
74,17294084154085868764,72319179021092067,1783690729092600354,1783690729.0926003,0,COMPLETE,83.145952,4.770688,52.548992,140.86624,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,0.8662400000000048,0.0,0.0,10.991104,0.164288,0.23632,1346805234432,1346888380384,1346888544672,1346893315360,1346893551680,1346946100672,0,1251,2
75,17294084154085868765,72319179021092068,1783690729191229009,1783690729.1912289,0,COMPLETE,82.717344,6.588384,35.530272,125.398848,90.0,6.403471,41.557888,140.0,0,0,1,0,,0.0,0.0,0.18491299999999988,0.0,0.275872,0.286976,1346903851712,1346986569056,1346986844928,1346993433312,1346993720288,1347029250560,0,1252,1
76,17294084154085868766,72319179021092069,1783690729292037268,1783690729.2920375,0,COMPLETE,82.99152,4.277984,50.144896,138.033344,90.0,6.403471,41.557888,140.0,0,0,0,1,,0.0,0.0,0.0,8.587008000000004,0.404544,0.2144,1347001901216,1347084892736,1347085297280,1347089575264,1347089789664,1347139934560,0,1253,1
