record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,planning_seq,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,obstacle_id,decision_json
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598570397769618,1783598570.3977697,/apollo/planning,apollo.planning.ADCTrajectory,1783598570.3969002,540,540,planning,1783598570218281458,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.6367309224709,
          ""y"": -133.85578094273527,
          ""z"": 0.0
        },
        ""stop_heading"": 0.01931360270739064
      }
    }
  ]
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598570478920813,1783598570.4789207,/apollo/planning,apollo.planning.ADCTrajectory,1783598570.478251,541,541,planning,1783598570318422100,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.6367317087728,
          ""y"": -133.85573944421844,
          ""z"": 0.0
        },
        ""stop_heading"": 0.01937493201479403
      }
    }
  ]
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598570568769368,1783598570.5687692,/apollo/planning,apollo.planning.ADCTrajectory,1783598570.568108,542,542,planning,1783598570418432521,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.6367315706492,
          ""y"": -133.85570695528403,
          ""z"": 0.0
        },
        ""stop_heading"": 0.019421988745706498
      }
    }
  ]
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598570688527953,1783598570.6885278,/apollo/planning,apollo.planning.ADCTrajectory,1783598570.6879523,543,543,planning,1783598570518328964,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.63673107429906,
          ""y"": -133.85568752586605,
          ""z"": 0.0
        },
        ""stop_heading"": 0.019453189561184376
      }
    }
  ]
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598570769766286,1783598570.7697663,/apollo/planning,apollo.planning.ADCTrajectory,1783598570.7691345,544,544,planning,1783598570618320438,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.6367301168016,
          ""y"": -133.85567934956867,
          ""z"": 0.0
        },
        ""stop_heading"": 0.019466561726394854
      }
    }
  ]
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598570893354886,1783598570.893355,/apollo/planning,apollo.planning.ADCTrajectory,1783598570.8925667,545,545,planning,1783598570718330897,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.636727966653,
          ""y"": -133.85568180814764,
          ""z"": 0.0
        },
        ""stop_heading"": 0.01946045430119828
      }
    }
  ]
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598570971907319,1783598570.9719074,/apollo/planning,apollo.planning.ADCTrajectory,1783598570.9712667,546,546,planning,1783598570818403872,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.6367256210015,
          ""y"": -133.85569700380898,
          ""z"": 0.0
        },
        ""stop_heading"": 0.019434036126972903
      }
    }
  ]
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598571072155437,1783598571.0721555,/apollo/planning,apollo.planning.ADCTrajectory,1783598571.0714135,547,547,planning,1783598570918273184,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.63672298909603,
          ""y"": -133.8557282171552,
          ""z"": 0.0
        },
        ""stop_heading"": 0.01938547485440427
      }
    }
  ]
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598571178151779,1783598571.1781516,/apollo/planning,apollo.planning.ADCTrajectory,1783598571.1774487,548,548,planning,1783598571018359127,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.6367194119364,
          ""y"": -133.8557740921395,
          ""z"": 0.0
        },
        ""stop_heading"": 0.019315922452248058
      }
    }
  ]
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598571266826683,1783598571.2668269,/apollo/planning,apollo.planning.ADCTrajectory,1783598571.2661452,549,549,planning,1783598571118434008,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.63671549295407,
          ""y"": -133.8558386465382,
          ""z"": 0.0
        },
        ""stop_heading"": 0.019223353881686868
      }
    }
  ]
}"
