control_seq,control_record_time_sec,control_header_timestamp_sec,planning_header_sequence_num,planning_header_timestamp_sec,planning_publish_record_time_sec,matched_planning_seq_from_record,planning_age_ms,planning_trajectory_point_size,planning_trajectory_type,reuse_count,reuse_index_in_run
7622,1783598550.6745074,1783598550.6742065,341,1783598550.5595071,1783598550.560716,341,113.79146575927734,136,NORMAL,19,12
7623,1783598550.6845856,1783598550.6842997,341,1783598550.5595071,1783598550.560716,341,123.86965751647949,136,NORMAL,19,13
7624,1783598550.694351,1783598550.6941051,341,1783598550.5595071,1783598550.560716,341,133.6350440979004,136,NORMAL,19,14
7625,1783598550.7042575,1783598550.7039804,341,1783598550.5595071,1783598550.560716,341,143.5415744781494,136,NORMAL,19,15
7626,1783598550.714582,1783598550.7142823,341,1783598550.5595071,1783598550.560716,341,153.86605262756348,136,NORMAL,19,16
7627,1783598550.72485,1783598550.7246087,341,1783598550.5595071,1783598550.560716,341,164.13402557373047,136,NORMAL,19,17
7628,1783598550.732577,1783598550.7321973,341,1783598550.5595071,1783598550.560716,341,171.8611717224121,136,NORMAL,19,18
7629,1783598550.7445202,1783598550.7442167,341,1783598550.5595071,1783598550.560716,341,183.80427360534668,136,NORMAL,19,19
7630,1783598550.7548356,1783598550.7545593,342,1783598550.7469547,1783598550.7479396,342,6.896018981933594,136,NORMAL,8,1
7631,1783598550.7623613,1783598550.762159,342,1783598550.7469547,1783598550.7479396,342,14.421701431274414,136,NORMAL,8,2
7632,1783598550.7745314,1783598550.7743063,342,1783598550.7469547,1783598550.7479396,342,26.591777801513672,136,NORMAL,8,3
7633,1783598550.7843297,1783598550.7841146,342,1783598550.7469547,1783598550.7479396,342,36.390066146850586,136,NORMAL,8,4
7634,1783598550.7944365,1783598550.7941952,342,1783598550.7469547,1783598550.7479396,342,46.49686813354492,136,NORMAL,8,5
7635,1783598550.804774,1783598550.8044302,342,1783598550.7469547,1783598550.7479396,342,56.83445930480957,136,NORMAL,8,6
7636,1783598550.8125594,1783598550.8123121,342,1783598550.7469547,1783598550.7479396,342,64.61977958679199,136,NORMAL,8,7
7637,1783598550.8245523,1783598550.824254,342,1783598550.7469547,1783598550.7479396,342,76.61271095275879,136,NORMAL,8,8
7638,1783598550.8345833,1783598550.8343308,343,1783598550.8229475,1783598550.824506,343,10.077238082885742,136,NORMAL,9,1
7639,1783598550.8444445,1783598550.8442023,343,1783598550.8229475,1783598550.824506,343,19.93846893310547,136,NORMAL,9,2
7640,1783598550.8544586,1783598550.8542302,343,1783598550.8229475,1783598550.824506,343,29.952526092529297,136,NORMAL,9,3
7641,1783598550.8642457,1783598550.8640697,343,1783598550.8229475,1783598550.824506,343,39.73960876464844,136,NORMAL,9,4
7642,1783598550.8750222,1783598550.8747132,343,1783598550.8229475,1783598550.824506,343,50.51612854003906,136,NORMAL,9,5
7643,1783598550.8828518,1783598550.882558,343,1783598550.8229475,1783598550.824506,343,58.345794677734375,136,NORMAL,9,6
7644,1783598550.8928943,1783598550.892643,343,1783598550.8229475,1783598550.824506,343,68.38822364807129,136,NORMAL,9,7
7645,1783598550.9023511,1783598550.9021494,343,1783598550.8229475,1783598550.824506,343,77.84509658813477,136,NORMAL,9,8
7646,1783598550.914513,1783598550.914229,343,1783598550.8229475,1783598550.824506,343,90.00706672668457,136,NORMAL,9,9
7647,1783598550.924533,1783598550.9242427,344,1783598550.9125414,1783598550.91328,344,11.252880096435547,136,NORMAL,6,1
