frame,host_tid,infer_ms,stack_sample_count,resolved_sample_count,unknown_sample_count,unknown_ratio,top1_symbol,top1_dso,top1_samples,top1_ratio,top2_symbol,top2_dso,top2_samples,top2_ratio,top3_symbol,top3_dso,top3_samples,top3_ratio,frame_role,data_status,quality_flag
636,1016506,89.243789,4,4,0,0.000000000,cudnnSetConvolutionMathType,/usr/lib/aarch64-linux-gnu/libcudnn.so.8.6.0,1,0.250000000,paddle::framework::ExtractAttribute<bool>::operator(),/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.250000000,paddle::platform::VisitPlace<paddle::memory::legacy::AllocVisitor>,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.250000000,anomaly,OK,none
637,1016506,90.368059,3,2,1,0.333333333,[unknown],/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcudart.so.11.4.298,1,0.333333333,paddle::framework::Scope::FindVar,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,"paddle::small_vector_impl<paddle::variant<paddle::framework::VarDesc*, paddle::framework::Variable*> >::operator=@plt",/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,anomaly,OK,none
638,1016504,94.970804,3,1,2,0.666666667,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,1,0.333333333,[unknown],/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84,1,0.333333333,cudnn::backend::Tensor::Tensor,/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.333333333,anomaly,OK,high_unknown_ratio
639,1016504,90.435644,2,1,1,0.500000000,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,1,0.500000000,paddle::framework::OperatorWithKernel::BuildPhiKernelContext,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.500000000,,,,,anomaly,OK,high_unknown_ratio
640,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,explicit_unavailable_no_guess
641,1016504,86.677997,3,3,0,0.000000000,NvRmGpuChannelKickoffPbWithAttr@plt,/usr/lib/aarch64-linux-gnu/tegra/libnvcucompat.so,1,0.333333333,"cask_cudnn::ft::subTree<cask_cudnn::cutkr::ft_cutlass_level, cask_cudnn::Convolution, cask_cudnn::ConvShader, cask_cudnn::ShaderList<cask_cudnn::ConvShader, cask_cudnn::Convolution> >::isFullyExplored",/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.333333333,std::_Rb_tree_increment,/usr/lib/aarch64-linux-gnu/libstdc++.so.6.0.28,1,0.333333333,anomaly,OK,none
642,1016504,87.656473,4,2,2,0.500000000,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,1,0.250000000,[unknown],/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcudart.so.11.4.298,1,0.250000000,paddle::framework::OperatorWithKernel::RunImpl,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.250000000,anomaly,OK,high_unknown_ratio
643,1016507,86.702958,3,3,0,0.000000000,paddle::experimental::ParseDataType@plt,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,paddle::operators::BatchNormGradOp::GetKernelTypeForVar,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,phi::DenseTensor::place,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,anomaly,OK,none
644,1016507,85.905636,3,3,0,0.000000000,host1x_readl,[kernel.kallsyms],1,0.333333333,"std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, paddle::variant<paddle::blank, int, float, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> >, std::vector<float, std::allocator<float> >, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, bool, std::vector<bool, std::allocator<bool> >, paddle::framework::BlockDesc*, long, std::vector<paddle::framework::BlockDesc*, std::allocator<paddle::framework::BlockDesc*> >, std::vector<long, std::allocator<long> >, std::vector<double, std::allocator<double> >, paddle::framework::VarDesc*, std::vector<paddle::framework::VarDesc*, std::allocator<paddle::framework::VarDesc*> >, double> >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, paddle::variant<paddle::blank, int, float, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> >, std::vector<float, std::allocator<float> >, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, bool, std::vector<bool, std::allocator<bool> >, paddle::framework::BlockDesc*, long, std::vector<paddle::framework::BlockDesc*, std::allocator<paddle::framework::BlockDesc*> >, std::vector<long, std::allocator<long> >, std::vector<double, std::allocator<double> >, paddle::framework::VarDesc*, std::vector<paddle::framework::VarDesc*, std::allocator<paddle::framework::VarDesc*> >, double> > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::count",/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,tc_cfree,inlined,1,0.333333333,anomaly,OK,none
645,1016507,86.272905,3,2,1,0.333333333,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libnvrm_gpu.so,1,0.333333333,cudnn::winograd::winograd_transform_filter,/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.333333333,paddle::framework::Variable::GetMutable<phi::DenseTensor>,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,anomaly,OK,none
646,1016507,85.506431,3,0,3,1.000000000,[unknown],/usr/lib/aarch64-linux-gnu/libc-2.31.so,1,0.333333333,[unknown],/usr/lib/aarch64-linux-gnu/libcudnn_ops_infer.so.8.6.0,1,0.333333333,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,1,0.333333333,anomaly,OK,high_unknown_ratio
647,1016510,86.311337,3,1,2,0.666666667,[unknown],/usr/lib/aarch64-linux-gnu/libc-2.31.so,1,0.333333333,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,1,0.333333333,paddle::framework::RuntimeInferShapeContext::SetOutputDim,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,anomaly,OK,high_unknown_ratio
