window_id,window_start_s,window_end_s,timestamp_s,interval_start_s,interval_end_s,cpu,prev_tid,prev_comm,prev_prio,prev_state,next_tid,next_comm,next_prio,running_interval_ms
runnable_1646959,968509.383000000,968509.413500000,968509.388432000,968509.388432000,968509.388439000,8,0,swapper/8,120,R,1645477,mainboard,120,0.007000
runnable_1646959,968509.383000000,968509.413500000,968509.388433000,968509.388433000,968509.388441000,11,0,swapper/11,120,R,1645711,mainboard,120,0.008000
runnable_1646959,968509.383000000,968509.413500000,968509.388436000,968509.388436000,968509.388448000,3,0,swapper/3,120,R,1645426,mainboard,120,0.012000
runnable_1646959,968509.383000000,968509.413500000,968509.388439000,968509.388439000,968509.388541000,8,1645477,mainboard,120,S,0,swapper/8,120,0.102000
runnable_1646959,968509.383000000,968509.413500000,968509.388439000,968509.388439000,968509.388448000,9,1648121,cyber_recorder,120,S,1648107,cyber_recorder,120,0.009000
runnable_1646959,968509.383000000,968509.413500000,968509.388441000,968509.388441000,968509.388532000,11,1645711,mainboard,120,S,0,swapper/11,120,0.091000
runnable_1646959,968509.383000000,968509.413500000,968509.388448000,968509.388448000,968509.388462000,3,1645426,mainboard,120,S,1645382,mainboard,120,0.014000
runnable_1646959,968509.383000000,968509.413500000,968509.388448000,968509.388448000,968509.388538000,9,1648107,cyber_recorder,120,S,0,swapper/9,120,0.090000
runnable_1646959,968509.383000000,968509.413500000,968509.388461000,968509.388461000,968509.388468000,10,0,swapper/10,120,R,1644538,mainboard,120,0.007000
runnable_1646959,968509.383000000,968509.413500000,968509.388462000,968509.388462000,968509.388497000,3,1645382,mainboard,120,S,1644778,dds.udp.27417,120,0.035000
runnable_1646959,968509.383000000,968509.413500000,968509.388468000,968509.388468000,968509.388539000,10,1644538,mainboard,120,S,0,swapper/10,120,0.071000
runnable_1646959,968509.383000000,968509.413500000,968509.388497000,968509.388497000,968509.388518000,3,1644778,dds.udp.27417,120,S,1646159,dds.udp.27447,120,0.021000
