source_frame,lidar_timestamp,perception_seq,perception_pub_time,output_interval_ms,perception_data_age_ms,obstacle_ids,target_id,target_x,target_y,target_vx,target_vy,tracking_time
434,1788414570731990522,1102,1788414570.939361811,94.601631,207.371235,[],,,,,,
435,1788414570831525379,1103,1788414571.036803007,97.441196,205.277681,[],,,,,,
436,1788414570931601360,1104,1788414571.142375231,105.572224,210.773706,[],,,,,,
437,1788414571031006572,1105,1788414571.244645596,102.270365,213.639021,[],,,,,,
438,1788414571131302681,1106,1788414571.335983515,91.337919,204.680920,[],,,,,,
439,1788414571231366324,1107,1788414571.438115358,102.131844,206.748962,[],,,,,,
440,1788414571331155894,1108,1788414571.539613247,101.497889,208.457232,[],,,,,,
441,1788414571431834749,1109,1788414571.637690067,98.076820,205.855370,[],,,,,,
442,1788414571531570936,1110,1788414571.738692045,101.001978,207.121134,[],,,,,,
443,1788414571631778295,1111,1788414571.841290474,102.598429,209.512234,[],,,,,,
444,1788414571731273677,1112,1788414571.937682390,96.391916,206.408739,[],,,,,,
445,1788414571831260537,1113,1788414572.040939331,103.256941,209.678888,[],,,,,,
446,1788414571931846467,1114,1788414572.144869804,103.930473,213.023424,[],,,,,,
447,1788414572031814471,1115,1788414572.243085623,98.215818,211.271286,[],,,,,,
448,1788414572132146315,1116,1788414572.339113951,96.028328,206.967592,[],,,,,,
449,1788414572231308198,1117,1788414572.449388504,110.274553,218.080282,[],,,,,,
450,1788414572331109549,1118,1788414572.540033817,90.645313,208.924294,[],,,,,,
451,1788414572431218506,1119,1788414572.681188822,141.155005,249.970436,[],,,,,,
452,1788414572552004362,1120,1788414572.772222996,91.034174,220.218658,[],,,,,,
453,1788414572635793410,1121,1788414572.864673376,92.450380,228.879929,[],,,,,,
454,1788414572731241239,1122,1788414572.957360029,92.686653,226.118803,[],,,,,,
455,1788414572831564603,1123,1788414573.050247192,92.887163,218.682766,[],,,,,,
456,1788414572931459620,1124,1788414573.156074286,105.827093,224.614620,[],,,,,,
457,1788414573031933372,1125,1788414573.250755310,94.681025,218.821764,[],,,,,,
458,1788414573131593285,1126,1788414573.355907917,105.152607,224.314690,[],,,,,,
459,1788414573231347559,1127,1788414573.454494476,98.586559,223.146915,[],,,,,,
460,1788414573331825949,1128,1788414573.557637691,103.143215,225.811720,[],,,,,,
461,1788414573431079939,1129,1788414573.653316021,95.678329,222.236156,[],,,,,,
462,1788414573531620510,1130,1788414573.755830765,102.514744,224.210262,[],,,,,,
463,1788414573631340165,1131,1788414573.853534460,97.703695,222.194195,[],,,,,,
464,1788414573732131650,1132,1788414573.947342873,93.808413,215.211391,[],,,,,,
465,1788414573831226842,1133,1788414574.042030096,94.687223,210.803270,[],,,,,,
466,1788414573931392346,1134,1788414574.144076586,102.046490,212.684393,[],,,,,,
467,1788414574031029344,1135,1788414574.249644279,105.567694,218.615055,[],,,,,,
468,1788414574131234446,1136,1788414574.352796078,103.151798,221.561432,[],,,,,,
469,1788414574231635389,1137,1788414574.460219860,107.423782,228.584290,[],,,,,,
470,1788414574331768531,1138,1788414574.556540251,96.320391,224.771738,[],,,,,,
471,1788414574431549557,1139,1788414574.655870676,99.330425,224.321127,[],,,,,,
472,1788414574531309136,1140,1788414574.748640299,92.769623,217.331171,[],,,,,,
473,1788414574631691874,1141,1788414574.847183466,98.543167,215.491772,[],,,,,,
474,1788414574731542131,1142,1788414574.944952011,97.768545,213.409901,[],,,,,,
475,1788414574831455344,1143,1788414575.052177429,107.225418,220.722198,[],,,,,,
476,1788414574931360229,1144,1788414575.149370432,97.193003,218.010187,[],,,,,,
477,1788414575031695713,1145,1788414575.246299744,96.929312,214.604139,[],,,,,,
478,1788414575131198997,1146,1788414575.346076965,99.777222,214.878082,[],,,,,,
479,1788414575231132744,1147,1788414575.459819317,113.742352,228.686571,[],,,,,,
480,1788414575333097581,1148,1788414575.552075863,92.256546,218.978405,[],,,,,,
481,1788414575431924133,1149,1788414575.650355101,98.279238,218.430758,[],,,,,,
482,1788414575531180949,1150,1788414575.757295132,106.940031,226.114035,[],,,,,,
483,1788414575631142195,1151,1788414575.848788977,91.493845,217.646837,[],,,,,,
484,1788414575731319833,1152,1788414575.950432777,101.643801,219.112873,[],,,,,,
485,1788414575831796072,1153,1788414576.043371439,92.938662,211.575508,[],,,,,,
486,1788414575931336226,1154,1788414576.144832850,101.461411,213.496685,[],,,,,,
487,1788414576031284159,1155,1788414576.246553421,101.720572,215.269089,[],,,,,,
488,1788414576131178058,1156,1788414576.347162724,100.609303,215.984821,[],,,,,,
