timestamp,cpu,event,prev_tid,prev_comm,prev_state,next_tid,next_comm,target_tid,waker_tid,orig_cpu,dest_cpu,selection_reason,raw_event
518004.334824,0,sched_waking,,,,29037,mainboard,29037,174,,,wake_of_anomaly_target_or_kswapd0, irq/134-host_sy   174 [000] 518004.334824:       sched:sched_waking: comm=mainboard pid=29037 prio=120 target_cpu=001
518004.334828,1,sched_switch,0,swapper/1,R,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [001] 518004.334828:       sched:sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.335273,1,sched_switch,29037,mainboard,S,0,swapper/1,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.335273:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
518004.335574,0,sched_waking,,,,29037,mainboard,29037,174,,,wake_of_anomaly_target_or_kswapd0, irq/134-host_sy   174 [000] 518004.335574:       sched:sched_waking: comm=mainboard pid=29037 prio=120 target_cpu=001
518004.33558,1,sched_switch,0,swapper/1,R,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [001] 518004.335580:       sched:sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.336157,1,sched_switch,29037,mainboard,R,937,sugov:0,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.336157:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=R ==> next_comm=sugov:0 next_pid=937 next_prio=-1
518004.336178,1,sched_switch,937,sugov:0,D,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         sugov:0   937 [001] 518004.336178:       sched:sched_switch: prev_comm=sugov:0 prev_pid=937 prev_prio=-1 prev_state=D ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.336298,1,sched_switch,29037,mainboard,R,937,sugov:0,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.336298:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=R ==> next_comm=sugov:0 next_pid=937 next_prio=-1
518004.336307,1,sched_switch,937,sugov:0,S,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         sugov:0   937 [001] 518004.336307:       sched:sched_switch: prev_comm=sugov:0 prev_pid=937 prev_prio=-1 prev_state=S ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.338232,1,sched_switch,29037,mainboard,R,937,sugov:0,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.338232:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=R ==> next_comm=sugov:0 next_pid=937 next_prio=-1
