record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,measurement_time,status_json,pose_status_json
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546421165937,1783598546.421166,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598546.4208508,723,localization,0,0,0,1783598546.4185603,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546521600343,1783598546.5216002,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598546.5212433,724,localization,0,0,0,1783598546.518466,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546621729178,1783598546.6217294,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598546.6214895,725,localization,0,0,0,1783598546.6185308,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546721363607,1783598546.7213638,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598546.7208242,726,localization,0,0,0,1783598546.7184527,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546821358008,1783598546.821358,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598546.8209822,727,localization,0,0,0,1783598546.8185596,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546921653213,1783598546.9216533,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598546.921367,728,localization,0,0,0,1783598546.918401,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598547021371962,1783598547.0213718,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598547.021143,729,localization,0,0,0,1783598547.0184305,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598547121486429,1783598547.1214864,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598547.1210856,730,localization,0,0,0,1783598547.1186008,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598547221773570,1783598547.2217736,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598547.2214653,731,localization,0,0,0,1783598547.2185166,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598547322001990,1783598547.322002,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598547.3216963,732,localization,0,0,0,1783598547.318582,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598547425095183,1783598547.425095,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598547.421066,733,localization,0,0,0,1783598547.4184692,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598547521487170,1783598547.521487,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598547.5211875,734,localization,0,0,0,1783598547.5185108,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598547621526692,1783598547.6215267,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598547.621201,735,localization,0,0,0,1783598547.618503,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598547721478468,1783598547.7214785,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598547.7209854,736,localization,0,0,0,1783598547.718469,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598547821248802,1783598547.8212488,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598547.820914,737,localization,0,0,0,1783598547.8185754,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598547921482247,1783598547.9214823,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598547.9210663,738,localization,0,0,0,1783598547.9184206,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598548021491752,1783598548.0214918,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598548.0208557,739,localization,0,0,0,1783598548.018539,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598548121462985,1783598548.121463,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598548.1211698,740,localization,0,0,0,1783598548.11846,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598548221409033,1783598548.221409,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598548.2209585,741,localization,0,0,0,1783598548.2186003,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598548321442795,1783598548.3214428,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598548.3211591,742,localization,0,0,0,1783598548.318459,,
