record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,gear_location,driving_mode,turn_signal,horn,high_beam,low_beam,emergency_light,chassis_error_mask
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598545721065031,1783598545.721065,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598545.718609,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598545821015752,1783598545.8210158,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598545.818686,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598545920664388,1783598545.9206643,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598545.9185808,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546020614373,1783598546.0206144,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598546.01853,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546120712679,1783598546.1207128,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598546.1183748,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546221704725,1783598546.2217047,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598546.2186513,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546320564520,1783598546.3205645,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598546.3184743,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546421218065,1783598546.4212182,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598546.4185603,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546520823950,1783598546.520824,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598546.518466,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546620862351,1783598546.6208625,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598546.6185308,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546720916177,1783598546.7209163,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598546.7184527,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546821138357,1783598546.8211384,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598546.8185596,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546920937524,1783598546.9209375,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598546.918401,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598547020871668,1783598547.0208716,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598547.0184305,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598547120999127,1783598547.120999,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598547.1186008,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598547221102105,1783598547.221102,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598547.2185166,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598547321209788,1783598547.32121,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598547.318582,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598547420686870,1783598547.420687,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598547.4184692,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598547521506242,1783598547.5215063,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598547.5185108,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598547620899803,1783598547.6209,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598547.618503,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598547720611705,1783598547.7206116,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598547.718469,0,carla_bridge,0,0,0,GEAR_DRIVE,COMPLETE_AUTO_DRIVE,TURN_NONE,0,0,0,0,0
