control_seq,control_record_time_sec,control_header_timestamp_sec,planning_header_sequence_num,planning_header_timestamp_sec,planning_publish_record_time_sec,matched_planning_seq_from_record,planning_age_ms,planning_trajectory_point_size,planning_trajectory_type,reuse_count,reuse_index_in_run
11221,1783598420.600859,1783598420.6006167,671,1783598420.56459,1783598420.5652664,671,35.59255599975586,159,NORMAL,8,4
11222,1783598420.610664,1783598420.6104677,671,1783598420.56459,1783598420.5652664,671,45.39752006530762,159,NORMAL,8,5
11223,1783598420.6233492,1783598420.6229389,671,1783598420.56459,1783598420.5652664,671,58.08281898498535,159,NORMAL,8,6
11224,1783598420.6313808,1783598420.6306608,671,1783598420.56459,1783598420.5652664,671,66.11442565917969,159,NORMAL,8,7
11225,1783598420.6406937,1783598420.6403918,671,1783598420.56459,1783598420.5652664,671,75.42729377746582,159,NORMAL,8,8
11226,1783598420.6525896,1783598420.6523745,672,1783598420.6465075,1783598420.6472378,672,5.351781845092773,159,NORMAL,7,1
11227,1783598420.6622705,1783598420.6620474,672,1783598420.6465075,1783598420.6472378,672,15.032768249511719,159,NORMAL,7,2
11228,1783598420.6724887,1783598420.6722336,672,1783598420.6465075,1783598420.6472378,672,25.250911712646484,159,NORMAL,7,3
11229,1783598420.6821346,1783598420.681977,672,1783598420.6465075,1783598420.6472378,672,34.8968505859375,159,NORMAL,7,4
11230,1783598420.692289,1783598420.6920538,672,1783598420.6465075,1783598420.6472378,672,45.05133628845215,159,NORMAL,7,5
11231,1783598420.7024357,1783598420.702152,672,1783598420.6465075,1783598420.6472378,672,55.197954177856445,159,NORMAL,7,6
11232,1783598420.7124777,1783598420.712215,672,1783598420.6465075,1783598420.6472378,672,65.23990631103516,159,NORMAL,7,7
11233,1783598420.7225046,1783598420.722255,673,1783598420.7182138,1783598420.718835,673,3.6695003509521484,115,SPEED_FALLBACK,7,1
11234,1783598420.7322965,1783598420.7320032,673,1783598420.7182138,1783598420.718835,673,13.46135139465332,115,SPEED_FALLBACK,7,2
11235,1783598420.7423806,1783598420.7421186,673,1783598420.7182138,1783598420.718835,673,23.545503616333008,115,SPEED_FALLBACK,7,3
11236,1783598420.7521846,1783598420.7519841,673,1783598420.7182138,1783598420.718835,673,33.34951400756836,115,SPEED_FALLBACK,7,4
11237,1783598420.7622378,1783598420.7619739,673,1783598420.7182138,1783598420.718835,673,43.402671813964844,115,SPEED_FALLBACK,7,5
11238,1783598420.7723935,1783598420.772161,673,1783598420.7182138,1783598420.718835,673,53.558349609375,115,SPEED_FALLBACK,7,6
11239,1783598420.7824888,1783598420.7821689,673,1783598420.7182138,1783598420.718835,673,63.65370750427246,115,SPEED_FALLBACK,7,7
11240,1783598420.7924793,1783598420.7922823,674,1783598420.7871034,1783598420.7877023,674,4.776954650878906,119,SPEED_FALLBACK,8,1
11241,1783598420.80221,1783598420.8019917,674,1783598420.7871034,1783598420.7877023,674,14.507770538330078,119,SPEED_FALLBACK,8,2
11242,1783598420.8122017,1783598420.8120103,674,1783598420.7871034,1783598420.7877023,674,24.49941635131836,119,SPEED_FALLBACK,8,3
11243,1783598420.8224099,1783598420.8221505,674,1783598420.7871034,1783598420.7877023,674,34.70754623413086,119,SPEED_FALLBACK,8,4
11244,1783598420.83234,1783598420.8320878,674,1783598420.7871034,1783598420.7877023,674,44.63768005371094,119,SPEED_FALLBACK,8,5
11245,1783598420.8421059,1783598420.841861,674,1783598420.7871034,1783598420.7877023,674,54.40354347229004,119,SPEED_FALLBACK,8,6
11246,1783598420.85255,1783598420.8522193,674,1783598420.7871034,1783598420.7877023,674,64.84770774841309,119,SPEED_FALLBACK,8,7
11247,1783598420.8623683,1783598420.862155,674,1783598420.7871034,1783598420.7877023,674,74.66602325439453,119,SPEED_FALLBACK,8,8
11248,1783598420.872422,1783598420.8721614,675,1783598420.8658857,1783598420.8665373,675,5.884647369384766,111,NORMAL,9,1
11249,1783598420.8822048,1783598420.8819876,675,1783598420.8658857,1783598420.8665373,675,15.667438507080078,111,NORMAL,9,2
